name,line
Bilbo," Are they, indeed? Over my dead body."
Frodo, They’d probably find that quite agreeable! They seem to think you have tunnels overflowing with gold.
Bilbo," It was one small chest, hardly overflowing. And it still smells of troll."
Frodo, What on earth are you doing?
Bilbo," Taking precautions. You know, I caught her making off with the silverware once."
Frodo, Who?
Bilbo, Lobelia SackvilleBaggins. She had all my spoons stuffed in her pockets. Hah! Dreadful
Frodo, When you’re...what?
Bilbo, It’s nothing. Nothing.
Frodo," You know, some people are beginning to wonder about you, Uncle. They think you’re"
Bilbo, Odd? Hmm.
Frodo, Unsociable.
Bilbo, Unsociable? Me? Nonsense. Be a good lad and put that on the gate.
Frodo, You think he’ll come?
Bilbo, Who?
Frodo, Gandalf.
Bilbo," Ahhh. He wouldn’t miss a chance to lit up his whizpoppers! He’ll give us quite a show, you’ll see."
Frodo," Alright then, I’m off."
Bilbo, Off to where?
Frodo, East Farthing woods. I’m going to surprise him.
Bilbo," Well, go on then! You don’t want to be late."
Bilbo," He doesn’t approve of being late. Not that I ever was. In those days, I was always on time. I was entirely respectable. And nothing unexpected ever happened."
Bilbo, Good morning.
Gandalf," What do you mean? Do you mean to wish me a good morning, or do you mean that it is a good morning whether I want it or not? Or, perhaps you mean to say that you feel good on this particular morning. Or are you simply stating that this is a morning to be good on?"
Bilbo," All of them at once, I suppose."
Bilbo, Can I help you?
Gandalf, That remains to be seen. I’m looking for someone to share in an adventure.
Bilbo," An adventure? Now, I don’t imagine anyone west of Bree would have much interest in"
Bilbo, Good morning.
Gandalf," To think that I should have lived to be goodmorninged by Belladonna Took’s son, as if I"
Bilbo, Beg your pardon?
Gandalf," You’ve changed, and not entirely for the better, Bilbo Baggins."
Bilbo," I’m sorry, do I know you?"
Gandalf," Well, you know my name, although you don’t remember I belong to it. I’m Gandalf! And"
Bilbo," Gandalf...not Gandalf, the wandering Wizard, who made such excellent fireworks! Old Took used to have them on Midsummer’s Eve. Ha, ha! Well. Hmm, I had no idea you were still in business."
Gandalf, And where else should I be?
Bilbo," Ha, ha! Hm, hmm..."
Gandalf," Well, I’m pleased to find your remember something about me, even if it’s only my fireworks. Well that’s decided. It will be very good for you, and most amusing for me. I shall inform the others."
Bilbo," Inform the who? What? No. No. No! Wait. We do not want any adventures here, thank you. Not today, notmm. I suggest you try over the Hill or across the Water. Good morning."
Bilbo, Ah.
Dwalin," Dwalin, at your service."
Bilbo," Bilbo Baggins, at yours."
Bilbo, D-do we know each other?
Dwalin," No. Which way, laddie? Is it down here?"
Bilbo, I-is what down where?
Dwalin," Supper. He said there’d be food, and lots of it."
Bilbo, H-He said? Who said?
Dwalin," Mmmm. … Very good, this. Any more?"
Bilbo," What? Uh, oh, yes, yes"
Dwalin, Ah.
Bilbo, Help yourself.
Bilbo," Mmmm. It’s just that, um, I wasn’t expecting company."
Dwalin, That’ll be the door.
Balin," Balin, at your service."
Bilbo, Good evening.
Balin," Yes, yes it is, though I think it might rain later. Am I late?"
Bilbo, Late for what?
Balin," Oh, ha ha! Evening, brother. Heh, heh."
Dwalin," Oh, by my beard, you are shorter and wider than last we met.’"
Balin," Wider, not shorter. Sharp enough for both of us."
Bilbo," Uh, excuse me; sorry, I hate to interrupt, ah, but the thing is, I’m not entirely sure you’re in the right house."
Dwalin, Have you eaten?
Bilbo," It’s not that I don’t like visitors; I-I like visitors as much as the next Hobbit, but I do like to"
Balin," Ah, that looks very nice indeed."
Dwalin, [indistinguishable]
Dwalin, What’s this?
Balin," I don’t know, [indistinguishable] cheese."
Bilbo," The thing is, um"
